file_name,Pitch (Hz),Cutoff freq (MIDI),Cutoff freq (CV),Resonance (MIDI),Resonance (CV),Input delay (ms),Spectral Centroid (Hz),Spectral Bandwidth (Hz),Spectral Roll-off (Hz),RMS Energy,Spectral Flatness,MFCCs_1,MFCCs_2,MFCCs_3,MFCCs_4,MFCCs_5,MFCCs_6,MFCCs_7,MFCCs_8,MFCCs_9,MFCCs_10,MFCCs_11,MFCCs_12,MFCCs_13,Spectral Contrast (dB)_1,Spectral Contrast (dB)_2,Spectral Contrast (dB)_3,Spectral Contrast (dB)_4,Spectral Contrast (dB)_5,Spectral Contrast (dB)_6,Spectral Contrast (dB)_7
B4_r079_c127.wav,490.84106,127,10.0,79,6.2205,44.00000000000004,4792.432291092196,4438.137860803741,9873.53515625,0.045657363,0.00025912904,-390.5813,-46.652256,-27.324442,46.93545,-60.993786,24.90776,-31.98066,-10.5069685,-7.176353,-17.853228,-15.168559,-18.756487,-20.036818,18.729232943046352,10.053483056629569,40.763377176146385,38.42146060475181,37.14993503474667,34.66960998280288,38.112695541532155
B4_r095_c015.wav,519.7229,15,1.1811,95,7.4803,44.00000000000004,8356.747737427591,7599.453388646396,17792.578125,0.00081954093,0.06922126,-707.6969,27.027481,20.882654,18.935966,13.578543,13.984249,8.488074,9.126839,4.6478295,6.7989674,4.151454,7.999037,7.637312,17.058125580029465,7.569820374900482,14.897883003717789,11.583297921219815,13.800600487782406,12.950046834258526,16.638096796410448
B4_r095_c031.wav,447.28958,31,2.4409,95,7.4803,44.00000000000004,6378.579708118104,7453.60011285656,15914.182692307691,0.0015116518,0.008023746,-685.5229,50.27998,38.06536,29.367245,16.356653,12.190319,5.113757,4.7537,-0.65010625,0.73642313,-3.1243136,-0.31469268,1.0138888,14.621742947908261,9.265208948781327,26.27959838135805,15.19862261393734,13.32236364231195,12.653122908095462,16.32021548764209
B4_r095_c047.wav,372.53955,47,3.7008,95,7.4803,44.00000000000004,1003.6538114698949,2966.263605952282,599.3303571428571,0.025421673,6.7124754e-05,-598.58826,137.04703,74.198524,36.910793,16.130585,8.954736,-1.14385,-6.8922386,-16.686245,-22.84482,-30.1258,-27.573645,-26.71977,21.97872901022706,23.41972264917255,29.478993772762287,20.364210862826017,12.350391444098424,12.217064721390868,16.141524020214902
B4_r095_c063.wav,499.0822,63,4.9606,95,7.4803,44.00000000000004,886.4404098813874,2145.2715108448124,947.1940445026178,0.06035525,6.182479e-06,-552.7508,92.383385,33.77721,-8.853097,-22.5188,-24.668428,-27.896746,-28.45308,-23.062693,-16.732618,-13.773836,-12.176494,-8.54826,19.201997995084586,10.665526106446439,35.83287345326201,36.85230837171386,27.244111788443647,15.312070261345902,16.37567668794318
B4_r095_c079.wav,1472.8037,79,6.2205,95,7.4803,44.00000000000004,1431.7109185311083,1159.288184881916,1529.9410994764398,0.2066628,1.0348913e-05,-478.29343,93.62023,-33.762978,-59.471664,-19.013655,5.9888144,12.341815,4.6333866,-21.037352,-36.24875,-23.809105,-5.987125,-0.76435596,18.832212375588192,9.735542851290276,39.93944438993988,45.23658447277649,36.95745648591679,25.834794288875482,16.788929669556357
B4_r095_c095.wav,546.99225,95,7.4803,95,7.4803,44.00000000000004,2278.372066470803,2073.294943520082,3486.083984375,0.04546981,3.06187e-05,-486.14932,70.811775,-101.485085,25.935244,15.552479,-21.31884,-27.724009,-8.589852,4.5667,-18.578377,-27.98581,-8.925738,-9.581313,19.01017398791947,9.563849814992045,40.36997149556881,38.34837684115193,40.22725732340456,40.442418763259944,24.837964017943325
B4_r095_c111.wav,6914.598,111,8.7402,95,7.4803,44.00000000000004,5026.345056468768,3061.0764436106265,6938.727094240838,0.09170457,4.570095e-05,-423.36362,-15.933726,-62.999756,76.02614,-65.20526,7.9764757,-1.5400106,-31.684458,-2.897772,-2.4991775,-33.709663,-5.7227354,-16.16352,18.46732418130785,9.81116017370003,40.86500141469824,38.365770619166845,37.26861630120888,35.198525649163926,44.50757544796629
B4_r095_c127.wav,654.81445,127,10.0,95,7.4803,44.00000000000004,6239.779669407919,4749.433086803444,10876.227094240838,0.044230532,0.00020366872,-399.531,-56.35663,-17.309149,43.25024,-61.516136,32.76689,-39.81818,-1.8220233,-10.121779,-18.288525,-8.640008,-24.70318,-12.70432,19.18127752296635,9.933663482162618,40.48793857897721,38.639550778311886,37.50488176010388,34.381688478132936,40.283038927173244
B4_r111_c015.wav,0.4933043,15,1.1811,111,8.7402,44.00000000000004,135.88002695574875,987.1350318033294,101.23527486910994,0.37991604,3.7929027e-07,-480.15814,49.59731,46.29261,44.062317,42.531696,40.672672,38.626446,36.629917,34.571125,32.29822,29.722267,27.034306,24.603397,27.98188414317664,13.402497638595772,13.299265290490096,11.37705186075868,13.592336545546045,12.83956795040659,16.63288723235545
